agency,agency,Latitude,Longitude,actively_employed,De-escalation,Mental,Race,(blank),Grand Total,mental_de-escalation_total_over_5_years,mental_deescalation_per_officer,mental_deescalation_per_officer_per_year
G1469 CHATSWORTH POLICE DEPARTMENT,Chatsworth Police Department   ,34.785543,-84.771623,18,16,44,,3769,3829,60,3.3,0.7
G1609 FLOYD COUNTY POLICE DEPARTMENT,Floyd County Police Department  ,34.169159,-85.211118,143,40,437,254,22997,23728,477,3.3,0.7
G1229 FULTON COUNTY SHERIFFS OFFICE,Fulton County Sheriffs Office  ,33.75045,-84.390196,964,280,2965,553,184456,188254,3245,3.4,0.7
G1169 WALTON COUNTY SHERIFFS OFFICE,Walton County Sheriffs Office  ,33.771383,-83.700173,171,32,552,247,35006,35837,584,3.4,0.7
G1298 GWINNETT COUNTY POLICE DEPARTMENT,Gwinnett County Police Department  ,33.989761,-83.972752,816,1326,1473,3113,290661,296573,2799,3.4,0.7
G1659 MORVEN POLICE DEPARTMENT,Morven Police Department   ,30.924839,-83.539952,9,20,11,,728,759,31,3.4,0.7
G1056 QUITMAN POLICE DEPARTMENT,Quitman Police Department   ,30.782684,-83.558442,17,10,49,8,2397,2464,59,3.5,0.7
G1538 JASPER COUNTY SHERIFFS OFFICE,Jasper County Sheriffs Office  ,33.318639,-83.71677,53,,184,,8179,8363,184,3.5,0.7
G1249 TOWNS COUNTY SHERIFFS OFFICE,Towns County Sheriffs Office  ,34.984545,-83.83236,38,,132,13,4160,4305,132,3.5,0.7
G1325 HAGAN POLICE DEPARTMENT,Hagan Police Department   ,32.15603,-81.93373,6,,21,,800,821,21,3.5,0.7
G1674 IRWIN COUNTY SHERIFFS OFFICE,Irwin County Sheriffs Office  ,31.590029,-83.250597,208,438,293,221,19241,20193,731,3.5,0.7
G1065 TIFTON POLICE DEPARTMENT,Tifton Police Department   ,31.448883,-83.509485,49,48,127,,10886,11061,175,3.6,0.7
